Team Name,Team Year,Team Wins,Team Losses
NewJerseyDevils,2000,48,19
NewYorkIslanders,2000,21,51
NewYorkRangers,2000,33,43
OttawaSenators,2000,48,21
PhiladelphiaFlyers,2000,43,25
PhoenixCoyotes,2000,35,27
NewYorkIslanders,2001,42,28
NewYorkRangers,2001,36,38
OttawaSenators,2001,39,27
PhiladelphiaFlyers,2001,42,27
PhoenixCoyotes,2001,40,27
PittsburghPenguins,2001,28,41
SanJoseSharks,2001,44,27
St.LouisBlues,2001,43,27
TampaBayLightning,2001,27,40
TorontoMapleLeafs,2001,43,25
VancouverCanucks,2001,42,30
WashingtonCapitals,2001,36,33
MightyDucksofAnaheim,2002,40,27
AtlantaThrashers,2002,31,39
BostonBruins,2002,36,31
BuffaloSabres,2002,27,37
CalgaryFlames,2002,29,36
CarolinaHurricanes,2002,22,43
ColumbusBlueJackets,2002,29,42
ChicagoBlackhawks,2002,30,33
ColoradoAvalanche,2002,42,19
DallasStars,2002,46,17
DetroitRedWings,2002,48,20
EdmontonOilers,2002,36,26
FloridaPanthers,2002,24,36
ColoradoAvalanche,2003,40,22
DallasStars,2003,41,26
DetroitRedWings,2003,48,21
EdmontonOilers,2003,36,29
FloridaPanthers,2003,28,35
LosAngelesKings,2003,28,29
MinnesotaWild,2003,30,29
MontrealCanadiens,2003,41,30
NashvillePredators,2003,38,29
NewJerseyDevils,2003,43,25
NewYorkIslanders,2003,38,29
NewYorkRangers,2003,27,40
OttawaSenators,2003,43,23
PhiladelphiaFlyers,2003,40,21
PhoenixCoyotes,2003,22,36
PittsburghPenguins,2003,23,47
SanJoseSharks,2003,43,21
St.LouisBlues,2003,39,30
TampaBayLightning,2003,46,22
TorontoMapleLeafs,2003,45,24
VancouverCanucks,2003,43,24
WashingtonCapitals,2003,23,46
MightyDucksofAnaheim,2005,43,27
AtlantaThrashers,2005,41,33
BostonBruins,2005,29,37
CalgaryFlames,1998,30,40
CarolinaHurricanes,1998,34,30
ChicagoBlackhawks,1998,29,41
ColoradoAvalanche,1998,44,28
DallasStars,1998,51,19
DetroitRedWings,1998,43,32
EdmontonOilers,1998,33,37
FloridaPanthers,1998,30,34
LosAngelesKings,1998,32,45
MontrealCanadiens,1998,32,39
NashvillePredators,1998,28,47
NewJerseyDevils,1998,47,24
NewYorkIslanders,1998,24,48
NewYorkRangers,1998,33,38
OttawaSenators,1998,44,23
PhiladelphiaFlyers,1998,37,26
PhoenixCoyotes,1998,39,31
PittsburghPenguins,1998,38,30
SanJoseSharks,1998,31,33
St.LouisBlues,1998,37,32
TampaBayLightning,1998,19,54
TorontoMapleLeafs,1998,45,30
VancouverCanucks,1998,23,47
WashingtonCapitals,1998,31,45
MightyDucksofAnaheim,1999,34,33
VancouverCanucks,2005,42,32
WashingtonCapitals,2005,29,41
AnaheimDucks,2006,48,20
AtlantaThrashers,2006,43,28
BostonBruins,2006,35,41
BuffaloSabres,2006,53,22
CalgaryFlames,2006,43,29
CarolinaHurricanes,2006,40,34
ColumbusBlueJackets,2006,33,42
ChicagoBlackhawks,2006,31,42
ColoradoAvalanche,2006,44,31
DallasStars,2006,50,25
DetroitRedWings,2006,50,19
EdmontonOilers,2006,32,43
FloridaPanthers,2006,35,31
LosAngelesKings,2006,27,41
MinnesotaWild,2006,48,26
MontrealCanadiens,2006,42,34
NashvillePredators,2006,51,23
NewJerseyDevils,2006,49,24
NewYorkIslanders,2006,40,30
NewYorkRangers,2006,42,30
OttawaSenators,2006,48,25
PhiladelphiaFlyers,2006,22,48
PhoenixCoyotes,2006,31,46
PittsburghPenguins,2006,47,24
SanJoseSharks,2006,51,26
St.LouisBlues,2006,34,35
TampaBayLightning,2006,44,33
TorontoMapleLeafs,2006,40,31
VancouverCanucks,2006,49,26
WashingtonCapitals,2006,28,40
AnaheimDucks,2007,47,27
AtlantaThrashers,2007,34,40
BostonBruins,2007,41,29
BuffaloSabres,2007,39,31
CalgaryFlames,2007,42,30
CarolinaHurricanes,2007,43,33
ColumbusBlueJackets,2007,34,36
ChicagoBlackhawks,2007,40,34
ColoradoAvalanche,2007,44,31
DallasStars,2007,45,30
DetroitRedWings,2007,54,21
EdmontonOilers,2007,41,35
FloridaPanthers,2007,38,35
LosAngelesKings,2007,32,43
MinnesotaWild,2007,44,28
MontrealCanadiens,2007,47,25
NashvillePredators,2007,41,32
NewJerseyDevils,2007,46,29
NewYorkIslanders,2007,35,38
NewYorkRangers,2007,42,27
OttawaSenators,2007,43,31
PhiladelphiaFlyers,2007,42,29
PhoenixCoyotes,2007,38,37
PittsburghPenguins,2007,47,27
SanJoseSharks,2007,49,23
St.LouisBlues,2007,33,36
TampaBayLightning,2007,31,42
TorontoMapleLeafs,2007,36,35
VancouverCanucks,2007,39,33
WashingtonCapitals,2007,43,31
AnaheimDucks,2008,42,33
AtlantaThrashers,2008,35,41
BostonBruins,2008,53,19
BuffaloSabres,2008,41,32
CalgaryFlames,2008,46,30
CarolinaHurricanes,2008,45,30
ColumbusBlueJackets,2008,41,31
ChicagoBlackhawks,2008,46,24
ColoradoAvalanche,2008,32,45
DallasStars,2008,36,35
DetroitRedWings,2008,51,21
EdmontonOilers,2008,38,35
FloridaPanthers,2008,41,30
LosAngelesKings,2008,34,37
MinnesotaWild,2008,40,33
MontrealCanadiens,2008,41,30
NashvillePredators,2008,40,34
NewJerseyDevils,2008,51,27
NewYorkIslanders,2008,26,47
NewYorkRangers,2008,43,30
OttawaSenators,2008,36,35
PhiladelphiaFlyers,2008,44,27
PhoenixCoyotes,2008,36,39
PittsburghPenguins,2008,45,28
SanJoseSharks,2008,53,18
St.LouisBlues,2008,41,31
TampaBayLightning,2008,24,40
TorontoMapleLeafs,2008,34,35
VancouverCanucks,2008,45,27
WashingtonCapitals,2008,50,24
AnaheimDucks,2009,39,32
AtlantaThrashers,2009,35,34
BostonBruins,2009,39,30
BuffaloSabres,2009,45,27
CalgaryFlames,2009,40,32
CarolinaHurricanes,2009,35,37
ColumbusBlueJackets,2009,32,35
ChicagoBlackhawks,2009,52,22
ColoradoAvalanche,1996,49,24
DallasStars,1996,48,26
DetroitRedWings,1996,38,26
EdmontonOilers,1996,36,37
FloridaPanthers,1996,35,28
HartfordWhalers,1996,32,39
LosAngelesKings,1996,28,43
MontrealCanadiens,1996,31,36
NewJerseyDevils,1996,45,23
NewYorkIslanders,1996,29,41
NewYorkRangers,1996,38,34
OttawaSenators,1996,31,36
PhiladelphiaFlyers,1996,45,24
PhoenixCoyotes,1996,38,37
PittsburghPenguins,1996,38,36
SanJoseSharks,1996,27,47
St.LouisBlues,1996,36,35
TampaBayLightning,1996,32,40
TorontoMapleLeafs,1996,30,44
VancouverCanucks,1996,35,40
WashingtonCapitals,1996,33,40
MightyDucksofAnaheim,1997,26,43
BostonBruins,1997,39,30
BuffaloSabres,1997,36,29
CalgaryFlames,1997,26,41
BuffaloSabres,2005,52,24
CalgaryFlames,2005,46,25
CarolinaHurricanes,2005,52,22
ColumbusBlueJackets,2005,35,43
ChicagoBlackhawks,2005,26,43
ColoradoAvalanche,2005,43,30
DallasStars,2005,53,23
DetroitRedWings,2005,58,16
EdmontonOilers,2005,41,28
FloridaPanthers,2005,37,34
LosAngelesKings,2005,42,35
MinnesotaWild,2005,38,36
MontrealCanadiens,2005,42,31
NashvillePredators,2005,49,25
NewJerseyDevils,2005,46,27
NewYorkIslanders,2005,36,40
NewYorkRangers,2005,44,26
OttawaSenators,2005,52,21
PhiladelphiaFlyers,2005,45,26
PhoenixCoyotes,2005,38,39
PittsburghPenguins,2005,22,46
SanJoseSharks,2005,44,27
St.LouisBlues,2005,21,46
TampaBayLightning,2005,43,33
TorontoMapleLeafs,2005,41,33
ColoradoAvalanche,2009,43,30
DallasStars,2009,37,31
DetroitRedWings,2009,44,24
EdmontonOilers,2009,27,47
FloridaPanthers,2009,32,37
LosAngelesKings,2009,46,27
MinnesotaWild,2009,38,36
MontrealCanadiens,2009,39,33
NashvillePredators,2009,47,29
NewJerseyDevils,2009,48,27
NewYorkIslanders,2009,34,37
NewYorkRangers,2009,38,33
OttawaSenators,2009,44,32
PhiladelphiaFlyers,2009,41,35
PhoenixCoyotes,2009,50,25
PittsburghPenguins,2009,47,28
SanJoseSharks,2009,51,20
St.LouisBlues,2009,40,32
TampaBayLightning,2009,34,36
TorontoMapleLeafs,2009,30,38
VancouverCanucks,2009,49,28
WashingtonCapitals,2009,54,15
AnaheimDucks,2010,47,30
AtlantaThrashers,2010,34,36
BostonBruins,2010,46,25
BuffaloSabres,2010,43,29
CalgaryFlames,2010,41,29
CarolinaHurricanes,2010,40,31
ColumbusBlueJackets,2010,34,35
ChicagoBlackhawks,2010,44,29
ColoradoAvalanche,2010,30,44
DallasStars,2010,42,29
DetroitRedWings,2010,47,25
EdmontonOilers,2010,25,45
FloridaPanthers,2010,30,40
LosAngelesKings,2010,46,30
MinnesotaWild,2010,39,35
MontrealCanadiens,2010,44,30
NashvillePredators,2010,44,27
NewJerseyDevils,2010,38,39
NewYorkIslanders,2010,30,39
NewYorkRangers,2010,44,33
OttawaSenators,2010,32,40
PhiladelphiaFlyers,2010,47,23
PhoenixCoyotes,2010,43,26
PittsburghPenguins,2010,49,25
SanJoseSharks,2010,48,25
St.LouisBlues,2010,38,33
TampaBayLightning,2010,46,25
TorontoMapleLeafs,2010,37,34
SanJoseSharks,2011,43,29
St.LouisBlues,2011,49,22
TampaBayLightning,2011,38,36
TorontoMapleLeafs,2011,35,37
VancouverCanucks,2011,51,22
WashingtonCapitals,2011,42,32
WinnipegJets,2011,37,35
VancouverCanucks,2010,54,19
WashingtonCapitals,2010,48,23
AnaheimDucks,2011,34,36
BostonBruins,2011,49,29
BuffaloSabres,2011,39,32
CalgaryFlames,2011,37,29
CarolinaHurricanes,2011,33,33
ColumbusBlueJackets,2011,29,46
ChicagoBlackhawks,2011,45,26
ColoradoAvalanche,2011,41,35
DallasStars,2011,42,35
DetroitRedWings,2011,48,28
EdmontonOilers,2011,32,40
FloridaPanthers,2011,38,26
LosAngelesKings,2011,40,27
